"site_id","sample_id","site_code","day","month","year","date","latitude","longitude","waterbody_name","waterbody_type","state","river_type","eqr","eqc","dipt_spp_rich","dipt_fam_rich","dipt_abund","vec_rich","vec_fam_rich","vec_abund"
"LTR1054","LTR1054_4.10.2016","LTR1054_2016","4","10","2016","4/10/2016","54.50745363","23.11313414","Nemunas","river","HM","1",0.66,"Good",2,1,47,0,0,0
"LTR1054","LTR1054_7.10.2019","LTR1054_2019","7","10","2019","7/10/2019","54.50745363","23.11313414","Nemunas","river","HM","1",0.71,"High",6,6,157,1,1,30
"LTR1054","LTR1054_6.10.2022","LTR1054_2022","6","10","2022","6/10/2022","54.50745363","23.11313414","Nemunas","river","HM","1",0.51,"Moderate",5,3,65,1,1,13
"LTR106","LTR106_25.9.2012","LTR106_2012","25","9","2012","25/9/2012","55.7421","26.299","Dauguva","river","N","3",NA,NA,1,1,1,0,0,0
"LTR106","LTR106_21.9.2016","LTR106_2016","21","9","2016","21/9/2016","55.7421","26.299","Dauguva","river","N","3",0.64,"Good",3,3,451,1,1,246
"LTR106","LTR106_19.9.2019","LTR106_2019","19","9","2019","19/9/2019","55.7421","26.299","Dauguva","river","N","3",0.7,"Good",2,2,56,1,1,29
"LTR106","LTR106_28.9.2023","LTR106_2023","28","9","2023","28/9/2023","55.7421","26.299","Dauguva","river","N","3",NA,NA,11,7,38,1,1,8
"LTR1063","LTR1063_2.10.2017","LTR1063_2017","2","10","2017","2/10/2017","54.8796","22.9934","Nemunas","river","N","1",0.36,"Poor",2,1,370,0,0,0
"LTR1063","LTR1063_7.10.2021","LTR1063_2021","7","10","2021","7/10/2021","54.8796","22.9934","Nemunas","river","N","1",0.35,"Poor",2,2,323,0,0,0
"LTR1070","LTR1070_16.9.2010","LTR1070_2010","16","9","2010","16/9/2010","54.51384723","22.96784305","Nemunas","river","N","1",NA,NA,1,1,14,0,0,0
"LTR1070","LTR1070_11.10.2013","LTR1070_2013","11","10","2013","11/10/2013","54.51384723","22.96784305","Nemunas","river","N","1",0.8571,"High",2,2,14,0,0,0
"LTR1070","LTR1070_4.10.2016","LTR1070_2016","4","10","2016","4/10/2016","54.51384723","22.96784305","Nemunas","river","N","1",0.55,"Moderate",3,3,87,0,0,0
"LTR1070","LTR1070_8.10.2019","LTR1070_2019","8","10","2019","8/10/2019","54.51384723","22.96784305","Nemunas","river","N","1",0.62,"Good",5,5,142,0,0,0
"LTR1070","LTR1070_4.10.2022","LTR1070_2022","4","10","2022","4/10/2022","54.51384723","22.96784305","Nemunas","river","N","1",0.49,"Moderate",4,2,36,0,0,0
"LTR1072","LTR1072_26.9.2012","LTR1072_2012","26","9","2012","26/9/2012","54.6354","23.0552","Nemunas","river","N","1",NA,NA,1,1,84,0,0,0
"LTR1072","LTR1072_4.10.2016","LTR1072_2016","4","10","2016","4/10/2016","54.6354","23.0552","Nemunas","river","HM","1",0.79,"High",3,3,23,0,0,0
"LTR1072","LTR1072_7.10.2019","LTR1072_2019","7","10","2019","7/10/2019","54.6354","23.0552","Nemunas","river","HM","1",0.37,"Moderate",1,1,26,0,0,0
"LTR1074","LTR1074_24.9.2012","LTR1074_2012","24","9","2012","24/9/2012","54.4742","23.2888","Nemunas","river","N","1",NA,NA,4,4,164,0,0,0
"LTR1074","LTR1074_5.10.2016","LTR1074_2016","5","10","2016","5/10/2016","54.4742","23.2888","Nemunas","river","HM","1",0.46,"Moderate",2,2,40,0,0,0
"LTR1076","LTR1076_11.10.2017","LTR1076_2017","11","10","2017","11/10/2017","54.72036769","23.59466014","Nemunas","river","N","1",0.53,"Moderate",1,1,18,0,0,0
"LTR1076","LTR1076_3.10.2022","LTR1076_2022","3","10","2022","3/10/2022","54.72036769","23.59466014","Nemunas","river","N","1",0.41,"Moderate",4,2,24,0,0,0
"LTR1089","LTR1089_28.10.2013","LTR1089_2013","28","10","2013","28/10/2013","55.5575","23.52","Nemunas","river","N","1",0.7143,"Good",1,1,18,0,0,0
"LTR1089","LTR1089_17.10.2018","LTR1089_2018","17","10","2018","17/10/2018","55.5575","23.52","Nemunas","river","HM","1",0.57,"Good",1,1,25,0,0,0
"LTR1092","LTR1092_24.9.2013","LTR1092_2013","24","9","2013","24/9/2013","55.9739","22.5688","Venta","river","N","1",0.8571,"High",11,11,34,2,2,11
"LTR1092","LTR1092_26.9.2019","LTR1092_2019","26","9","2019","26/9/2019","55.9739","22.5688","Venta","river","HM","1",0.6,"Good",6,5,500,1,1,1
"LTR1093","LTR1093_30.9.2013","LTR1093_2013","30","9","2013","30/9/2013","56.2889","22.9667","Venta","river","HM","1",0.7143,"High",3,3,4,0,0,0
