site_id,latitude,longitude,Lat,Long,Xkm,Ykm,waterbody_type,avg_eqr,mode_eqc,avg_eqc_num,observation_count,avg_eqc_cat
LTR1473,55.3344,22.9943,55.3344,22.9943,626.5002568272105,6133.815195092408,River,0.45999999999999996,Moderate,3,3,Moderate
LTR1474,55.2866,22.9251,55.2866,22.9251,622.2584165755704,6128.37332912596,River,0.801775,High,4,4,Good
LTR1475,56.057,23.5208,56.057,23.5208,656.9662686219923,6215.288871557761,River,0.55,Moderate,3,3,Moderate
LTR1476,55.9589,23.7452,55.9589,23.7452,671.3693215109091,6204.9082209244325,River,0.43,Moderate,3,1,Moderate
LTR1477,55.7831,23.8568,55.7831,23.8568,679.141686507782,6185.633930473291,River,0.405,Poor,2,2,Poor
LTR1478,56.3226,23.9884,56.3226,23.9884,684.7922239374084,6245.996870423945,River,0.5449999999999999,Good,4,2,Good
LTR1479,55.9665,25.4,55.9665,25.4,774.5548194853253,6211.094534923146,River,0.6366666666666667,Good,4,3,Good
LTR1480,56.0726,25.2629,56.0726,25.2629,765.276812327777,6222.354326096815,River,0.6442749999999999,Moderate,4,4,Good
LTR1481,55.025,24.4481,55.025,24.4481,720.3871362784948,6103.0100161670025,River,0.686075,Good,4,4,Good
LTR1482,54.28228402,25.24757873,54.28228402,25.24757873,776.4591132482374,6023.255903170606,River,0.66785,Good,4,4,Good
LTR1483,54.32764175,25.02385602,54.32764175,25.02385602,761.6175942237214,6027.444318043917,River,0.8,High,5,1,High
LTR1484,54.8023,23.8966,54.8023,23.8966,686.1746140028705,6076.638922686179,River,0.515,Moderate,3,2,Moderate
LTR1485,54.9893,23.5294,54.9893,23.5294,661.8271207749551,6096.527187708229,River,0.7,High,4,2,Good
LTR1486,54.7456193,23.4075337,54.7456193,23.4075337,654.9640049032921,6069.144075353693,River,0.5633333333333334,Moderate,3,3,Moderate
LTR1487,55.3773,23.9252,55.3773,23.9252,685.3322575834061,6140.672894976522,River,0.56,Good,3,2,Moderate
LTR1488,54.68728021,25.08043542,54.68728021,25.08043542,762.971850219602,6067.639726188099,River,0.59405,Good,4,6,Good
LTR1489,56.2756,21.5144,56.2756,21.5144,531.8531597658078,6236.8727372880585,River,0.5366666666666666,Moderate,3,3,Moderate
