site_code,eqr,eqc
LTR1464_2010,,
LTR1464_2012,,
LTR1464_2015,0.7,Good
LTR1465_2010,,
LTR1465_2013,0.5714,Moderate
LTR1465_2015,0.65,Good
LTR1465_2020,0.58,Good
LTR1466_2010,,
LTR1466_2012,,
LTR1466_2016,0.6,Good
LTR1466_2019,0.83,High
LTR1466_2022,0.52,Moderate
LTR1467_2010,,
LTR1467_2013,0.7143,Good
LTR1467_2016,0.51,Moderate
LTR1467_2019,0.52,Moderate
LTR1467_2022,0.53,Moderate
LTR1468_2011,,
LTR1468_2014,0.95,High
LTR1468_2020,0.61,Good
LTR1469_2010,,
LTR1469_2011,,
LTR1469_2015,0.64,Good
LTR1469_2018,0.58,Moderate
LTR1469_2021,0.58,Moderate
LTR1470_2010,,
LTR1470_2014,0.55,Good
LTR1470_2020,0.47,Moderate
LTR1471_2011,,
LTR1471_2014,0.37,Poor
LTR1471_2018,0.43,Moderate
LTR1471_2021,0.44,Moderate
LTR1472_2011,,
LTR1472_2014,0.78,Good
LTR1472_2022,0.94,High
LTR1473_2011,,
LTR1473_2014,0.42,Moderate
LTR1473_2018,0.48,Moderate
LTR1473_2021,0.48,Moderate
LTR1474_2010,,
LTR1474_2013,0.8571,High
LTR1474_2015,0.82,High
LTR1474_2018,0.75,Good
LTR1474_2021,0.78,Good
LTR1475_2010,,
LTR1475_2015,0.67,Good
LTR1475_2018,0.41,Moderate
LTR1475_2021,0.57,Moderate
LTR1476_2011,,
LTR1476_2019,0.43,Moderate
LTR1477_2010,,
LTR1477_2018,0.35,Poor
LTR1477_2021,0.46,Moderate
LTR1478_2010,,
LTR1478_2018,0.51,Good
LTR1478_2021,0.58,Good
LTR1479_2011,,
LTR1479_2014,0.6,Good
LTR1479_2017,0.67,Good
LTR1479_2020,0.64,Good
LTR1480_2010,,
LTR1480_2013,0.8571,High
LTR1480_2015,0.61,Good
LTR1480_2018,0.59,Moderate
LTR1480_2021,0.52,Moderate
LTR1481_2010,,
LTR1481_2013,0.7143,Good
LTR1481_2015,0.51,Moderate
LTR1481_2018,0.74,Good
LTR1481_2021,0.78,Good
LTR1482_2010,,
LTR1482_2013,0.5714,Moderate
LTR1482_2016,0.63,Good
LTR1482_2019,0.6,Good
LTR1482_2022,0.87,High
LTR1483_2011,,
LTR1483_2014,0.8,High
LTR1484_2010,,
LTR1484_2014,0.48,Moderate
LTR1484_2020,0.55,Moderate
LTR1484_2023,,
LTR1485_2016,0.82,High
LTR1485_2020,0.58,Moderate
LTR1486_2011,,
LTR1486_2014,0.51,Moderate
LTR1486_2018,0.69,Good
LTR1486_2022,0.49,Moderate
LTR1487_2011,,
LTR1487_2014,0.73,Good
LTR1487_2018,0.39,Poor
LTR1488_2010,,
LTR1488_2011,,
LTR1488_2013,0.7143,Good
LTR1488_2014,0.62,Good
LTR1488_2015,0.62,Good
LTR1488_2016,0.68,Good
LTR1488_2019,0.51,Moderate
LTR1488_2022,0.42,Moderate
LTR1489_2010,,
LTR1489_2012,,
LTR1489_2015,0.61,Good
LTR1489_2018,0.54,Moderate
LTR1489_2021,0.46,Moderate
LTR1490_2011,,
LTR1490_2018,0.56,Moderate
LTR1490_2021,0.74,Good
LTR1491_2016,0.8,High
LTR1491_2019,0.52,Moderate
LTR1492_2010,,
LTR1492_2013,0.5714,Moderate
LTR1492_2016,0.45,Moderate
LTR1492_2019,0.49,Moderate
LTR1492_2022,0.5,Moderate
LTR1493_2010,,
LTR1493_2014,0.55,Moderate
LTR1493_2017,0.44,Moderate
LTR1493_2020,0.53,Moderate
LTR1494_2011,,
LTR1494_2016,0.49,Moderate
LTR1494_2019,0.81,High
LTR1494_2022,0.78,Good
LTR1495_2010,,
LTR1495_2013,0.8571,High
LTR1495_2015,0.5,Moderate
LTR1495_2019,0.77,Good
LTR1495_2022,0.68,Good
LTR1496_2011,,
LTR1496_2019,0.56,Good
LTR1497_2010,,
LTR1497_2015,0.68,Good
LTR1498_2011,,
LTR1498_2020,0.55,Moderate
LTR1499_2010,,
LTR1499_2013,0.5714,Moderate
LTR1499_2015,0.64,Good
LTR1499_2018,0.75,Good
LTR1499_2021,0.77,Good
LTR150_2015,0.65,Good
LTR150_2020,0.79,Good
LTR1500_2010,,
LTR1500_2013,0.5714,Moderate
LTR1500_2015,0.68,Good
LTR1501_2010,,
LTR1501_2013,0.7143,Good
LTR1501_2016,0.46,Moderate
LTR1501_2019,0.53,Moderate
LTR1501_2022,0.52,Moderate
LTR1502_2010,,
LTR1502_2013,0.8571,High
LTR1502_2015,0.72,Good
LTR1502_2019,0.57,Moderate
LTR1502_2022,0.67,Good
LTR1503_2010,,
LTR1503_2013,0.8571,High
LTR1503_2016,0.91,High
LTR1503_2019,0.59,Moderate
LTR1504_2010,,
LTR1504_2013,0.8571,High
LTR1504_2015,0.74,Good
LTR1504_2021,0.69,Good
LTR1505_2010,,
LTR1505_2013,0.5714,Moderate
LTR1505_2015,0.78,High
LTR1505_2018,0.7,High
LTR1505_2021,0.58,Good
LTR1506_2010,,
LTR1506_2013,0.4286,Moderate
LTR1507_2010,,
LTR1507_2013,0.7143,High
LTR1507_2016,0.62,Good
LTR1507_2019,0.49,Moderate
LTR1507_2022,0.53,Good
LTR1508_2010,,
LTR1508_2014,0.58,Moderate
LTR1509_2010,,
LTR1509_2013,0.5714,Moderate
LTR1509_2015,0.65,Good
LTR1509_2021,,
LTR151_2015,0.92,High
LTR151_2019,0.71,Good
LTR151_2022,0.72,Good
LTR1510_2011,,
LTR1510_2014,0.68,Good
LTR1511_2010,,
LTR1511_2013,0.8571,High
LTR1511_2015,0.66,Good
LTR1511_2018,0.59,Moderate
LTR1511_2021,0.75,Good
LTR1512_2010,,
LTR1512_2013,0.5714,Moderate
LTR1512_2015,0.66,Good
LTR1512_2018,0.59,Good
LTR1513_2011,,
LTR1513_2015,0.55,Moderate
LTR1513_2021,0.88,High
LTR1514_2012,,
LTR1514_2013,0.8571,High
LTR1514_2014,0.56,Moderate
LTR1514_2015,0.72,Good
LTR1514_2016,0.57,Moderate
LTR1514_2017,0.5,Moderate
LTR1514_2020,0.59,Moderate
LTR1515_2010,,
LTR1515_2011,,
LTR1515_2013,0.7143,High
LTR1515_2014,0.62,Good
LTR1515_2015,0.77,High
LTR1515_2019,0.5,Good
LTR1515_2022,0.58,Good
LTR1516_2011,,
LTR1516_2014,0.76,High
LTR1516_2018,0.64,Good
LTR1517_2011,,
LTR1517_2014,0.81,High
LTR1517_2017,0.64,Good
LTR1517_2020,0.48,Moderate
LTR1518_2011,,
LTR1519_2011,,
LTR1519_2014,0.6,Good
LTR1519_2018,0.5,Good
LTR1519_2021,0.47,Moderate
LTR1520_2011,,
LTR1520_2014,0.54,Good
LTR1520_2018,0.57,Good
LTR1520_2021,0.51,Moderate
LTR1521_2011,,
LTR1521_2014,0.51,Moderate
LTR1521_2018,0.44,Moderate
LTR1521_2021,0.45,Moderate
LTR1522_2011,,
LTR1523_2011,,
LTR1524_2011,,
LTR1524_2014,0.5,Moderate
LTR1524_2022,0.66,Good
LTR1525_2011,,
LTR1525_2014,0.56,Moderate
LTR1525_2018,0.56,Good
LTR1525_2021,0.67,Good
LTR1526_2016,0.6,Good
LTR1526_2019,0.52,Moderate
LTR1527_2011,,
LTR1527_2014,0.66,Good
LTR1527_2018,0.91,High
LTR1528_2011,,
LTR1528_2014,0.76,Good
LTR1528_2022,0.42,Moderate
LTR1529_2011,,
LTR1529_2014,0.65,Good
LTR1530_2011,,
LTR1530_2014,0.7,Good
LTR1532_2011,,
LTR1532_2014,0.57,Moderate
LTR1532_2018,0.61,Good
LTR1533_2010,,
LTR1533_2020,0.44,Moderate
