site_code,eqr,eqc
LTR79_2013,0.5714,Moderate
LTR79_2014,0.4,Moderate
LTR79_2015,0.53,Moderate
LTR79_2016,0.66,Good
LTR79_2017,0.52,Moderate
LTR79_2020,0.77,Good
LTR793_2010,,
LTR793_2019,0.67,Good
LTR794_2014,0.47,Moderate
LTR794_2021,0.45,Moderate
LTR795_2010,,
LTR795_2015,0.5,Moderate
LTR795_2019,0.55,Moderate
LTR802_2016,0.64,Good
LTR802_2021,0.51,Moderate
LTR810_2018,0.55,Good
LTR810_2021,0.54,Good
LTR812_2014,0.87,High
LTR813_2010,,
LTR813_2020,0.64,Good
LTR815_2012,,
LTR815_2020,0.47,Moderate
LTR816_2020,0.36,Moderate
LTR817_2010,,
LTR817_2020,0.6,Good
LTR819_2012,,
LTR819_2016,0.71,Good
LTR819_2021,0.57,Moderate
LTR82_2010,,
LTR82_2012,,
LTR82_2013,0.8571,High
LTR82_2014,0.58,Moderate
LTR82_2015,0.79,Good
LTR82_2017,0.61,Good
LTR82_2019,0.5,Moderate
LTR82_2020,0.48,Moderate
LTR825_2017,0.46,Moderate
LTR830_2018,0.63,Good
LTR837_2010,,
LTR837_2013,0.4286,Poor
LTR837_2016,0.51,Good
LTR837_2021,0.42,Moderate
LTR86_2010,,
LTR86_2011,,
LTR86_2012,,
LTR86_2013,0.5714,Moderate
LTR86_2014,0.56,Moderate
LTR86_2015,0.5,Moderate
LTR86_2016,0.48,Moderate
LTR86_2017,0.38,Poor
LTR86_2020,0.36,Poor
LTR871_2010,,
LTR871_2013,0.8571,High
LTR871_2016,0.67,Good
LTR871_2020,0.47,Moderate
LTR878_2017,0.66,Good
LTR88_2010,,
LTR88_2012,,
LTR88_2013,0.5714,Good
LTR88_2014,0.42,Moderate
LTR88_2015,0.48,Moderate
LTR88_2016,0.43,Moderate
LTR88_2017,0.44,Moderate
LTR88_2020,0.51,Good
LTR880_2011,,
LTR880_2014,0.72,Good
LTR880_2020,0.44,Moderate
LTR882_2012,,
LTR882_2015,0.54,Moderate
LTR882_2018,0.65,Good
LTR901_2010,,
LTR901_2013,0.5714,Good
LTR901_2018,0.55,Good
LTR901_2021,0.55,Good
LTR908_2015,0.65,Good
LTR908_2018,0.66,Good
LTR908_2021,0.71,Good
LTR913_2015,0.72,Good
LTR913_2021,0.36,Poor
LTR92_2010,,
LTR92_2011,,
LTR92_2012,,
LTR92_2013,0.5714,Moderate
LTR92_2014,0.48,Moderate
LTR92_2015,0.63,Good
LTR92_2016,0.64,Good
LTR92_2017,0.63,Good
LTR92_2020,0.6,Good
LTR922_2016,0.82,High
LTR922_2020,0.59,Moderate
LTR922_2023,,
LTR935_2010,,
LTR941_2010,,
LTR945_2016,0.8,High
LTR945_2017,0.82,High
LTR945_2022,0.49,Moderate
LTR95_2010,,
LTR95_2011,,
LTR95_2012,,
LTR95_2013,0.5714,Moderate
LTR95_2014,0.62,Good
LTR95_2015,0.69,Good
LTR956_2010,,
LTR960_2021,0.46,Moderate
LTR963_2017,0.53,Moderate
LTR963_2022,0.62,Good
LTR969_2010,,
LTR969_2016,0.72,Good
LTR969_2019,0.5,Moderate
LTR976_2010,,
LTR976_2015,0.48,Moderate
LTR976_2018,0.61,Good
LTR976_2021,0.72,High
LTR99_2010,,
LTR99_2012,,
LTR99_2013,0.8571,High
LTR99_2014,0.69,Good
LTR99_2015,0.62,Good
LTR99_2017,0.68,Good
LTR99_2019,0.53,Moderate
LTL10_2017,0.83,High
LTL10_2022,0.71,Good
LTL106_2013,0.9028,High
LTL106_2014,0.81,High
LTL106_2015,0.78,High
LTL106_2021,0.77,High
LTL109_2015,0.48,Moderate
LTL110_2018,0.75,High
LTL114_2013,0.5727,Good
LTL114_2019,0.44,Moderate
LTL114_2023,0.32,Poor
LTL115_2013,0.7212,Good
LTL115_2019,0.56,Good
LTL115_2023,0.57,Good
LTL116_2015,0.74,High
LTL116_2021,0.58,Good
LTL117_2018,0.53,Good
LTL125_2015,0.54,Good
LTL125_2021,0.48,Good
LTL128_2013,,
LTL128_2019,0.49,Moderate
LTL128_2023,0.38,Moderate
LTL131_2015,0.48,Moderate
LTL131_2022,0.63,Good
LTL134_2014,0.9,High
LTL134_2022,0.41,Moderate
LTL135_2014,0.63,Good
LTL135_2020,0.79,High
LTL136_2018,0.74,High
LTL137_2018,0.83,High
LTL144_2018,0.69,Good
LTL148_2017,0.65,Good
LTL148_2022,0.6,Good
LTL154_2013,0.779,High
LTL154_2019,0.47,Moderate
LTL155_2014,0.84,High
LTL155_2018,0.93,High
LTL156_2014,0.45,Moderate
LTL156_2022,0.46,Moderate
LTL157_2013,0.5142,Good
LTL157_2019,0.81,High
LTL158_2016,0.57,Good
LTL158_2022,0.61,Good
LTL159_2015,0.73,Good
LTL159_2021,0.68,Good
LTL161_2018,0.48,Moderate
LTL162_2017,0.86,High
LTL162_2023,0.38,Moderate
LTL163_2023,0.39,Moderate
LTL164_2014,0.48,Moderate
LTL164_2022,0.47,Moderate
LTL165_2016,0.54,Good
LTL165_2021,0.36,Moderate
LTL168_2016,0.73,Good
LTL168_2022,0.8,High
LTL169_2014,0.57,Good
LTL169_2018,0.67,Good
LTL169_2021,0.49,Moderate
LTL170_2022,0.4,Moderate
LTL171_2016,0.66,Good
LTL171_2022,0.77,High
LTL173_2013,0.5338,Good
LTL173_2016,0.37,Moderate
LTL173_2023,0.58,Good
LTL174_2013,0.7087,Good
LTL174_2019,0.58,Good
LTL177_2013,0.6382,Good
LTL177_2018,0.52,Good
LTL180_2013,0.7528,High
LTL180_2019,0.57,Good
LTL181_2016,0.82,High
LTL181_2022,0.56,Good
LTL184_2015,0.58,Good
LTL184_2021,0.66,Good
LTL187_2014,0.91,High
LTL187_2018,1,High
LTL188_2014,0.59,Good
LTL188_2020,0.49,Moderate
LTL188_2023,0.82,High
LTL189_2014,0.35,Moderate
LTL189_2020,0.45,Moderate
LTL189_2023,0.51,Good
LTL192_2013,0.5333,Good
LTL192_2016,0.56,Good
LTL192_2022,0.59,Good
LTL193_2013,0.6136,Good
LTL193_2018,0.8,High
LTL194_2018,0.56,Good
LTL195_2014,0.43,Moderate
LTL195_2020,0.55,Good
LTL195_2023,0.59,Good
LTL196_2014,0.29,Poor
LTL196_2020,0.38,Moderate
LTL196_2023,0.31,Poor
LTL197_2015,0.48,Moderate
LTL197_2021,0.49,Moderate
LTL198_2013,,
LTL198_2019,0.4,Moderate
LTL202_2014,0.48,Moderate
LTL202_2020,0.51,Good
LTL202_2023,0.7,Good
LTL203_2014,0.42,Moderate
LTL204_2015,0.36,Moderate
LTL204_2016,0.62,Good
LTL204_2019,0.59,Good
LTL205_2017,0.28,Poor
LTL206_2014,0.33,Poor
LTL206_2020,0.59,Good
LTL206_2023,0.75,High
LTL207_2015,0.53,Good
LTL207_2021,0.35,Moderate
LTL208_2017,0.27,Poor
LTL211_2019,0.53,Good
LTL214_2020,0.44,Moderate
LTL217_2014,0.54,Good
LTL217_2018,0.62,Good
LTL218_2014,0.58,Good
LTL218_2018,0.64,Good
LTL219_2014,0.76,High
LTL219_2018,0.93,High
LTL220_2016,0.66,Good
LTL220_2022,0.77,High
LTL221_2018,0.42,Moderate
LTL221_2023,0.92,High
LTL222_2013,0.8855,High
LTL222_2016,0.68,Good
LTL222_2019,0.55,Good
LTL223_2019,0.5,Good
LTL223_2023,0.71,Good
LTL224_2014,0.63,Good
LTL224_2020,0.6,Good
LTL226_2019,0.45,Moderate
LTL227_2019,0.52,Good
LTL228_2013,0.4892,Moderate
LTL228_2022,0.75,High
LTL229_2019,0.6,Good
LTL230_2013,0.8444,High
LTL230_2019,0.76,High
LTL231_2015,0.53,Good
LTL231_2021,0.47,Moderate
LTL232_2015,0.82,High
LTL232_2021,0.73,Good
LTL234_2015,0.7,Good
LTL234_2021,0.49,Moderate
LTL235_2015,0.66,Good
LTL235_2021,0.43,Moderate
LTL236_2015,0.41,Moderate
LTL236_2021,0.34,Poor
LTL237_2014,0.51,Good
LTL237_2020,0.86,High
LTL237_2023,0.81,High
LTL238_2013,0.576,Good
LTL238_2018,0.63,Good
LTL239_2016,0.81,High
LTL239_2022,0.49,Moderate
LTL240_2017,0.61,Good
LTL240_2023,0.69,Good
LTL241_2014,0.39,Moderate
LTL241_2020,0.48,Moderate
LTL241_2023,0.83,High
LTL243_2015,0.39,Moderate
LTL244_2013,0.6393,Good
LTL245_2014,0.55,Good
LTL245_2020,0.47,Moderate
LTL245_2023,0.53,Good
LTL246_2013,0.6467,Good
LTL246_2020,0.28,Poor
LTL247_2015,0.56,Good
LTL247_2021,0.63,Good
LTL248_2016,0.53,Good
LTL248_2022,0.44,Moderate
LTL249_2016,0.64,Good
LTL249_2022,0.47,Moderate
LTL250_2015,0.61,Good
LTL250_2021,0.83,High
LTL251_2016,0.57,Good
LTL251_2022,0.72,Good
LTL252_2015,0.6,Good
LTL252_2021,0.67,Good
LTL253_2016,0.67,Good
LTL253_2020,0.46,Moderate
LTL254_2016,0.36,Moderate
LTL254_2023,0.62,Good
LTL256_2013,0.5447,Good
LTL256_2014,0.45,Moderate
LTL256_2015,0.82,High
LTL256_2021,0.6,Good
LTL257_2015,0.41,Moderate
LTL257_2021,0.39,Moderate
LTL258_2014,0.48,Moderate
LTL258_2020,0.71,Good
LTL258_2023,0.79,High
LTL259_2014,0.33,Poor
LTL259_2022,0.37,Moderate
LTL260_2013,,
LTL260_2018,0.45,Moderate
LTL261_2013,,
LTL261_2018,0.53,Good
LTL262_2013,,
LTL262_2018,0.5,Good
LTL263_2013,,
LTL263_2016,0.5,Good
LTL264_2014,0.3,Poor
LTL264_2022,0.32,Poor
LTL265_2013,0.223,Poor
LTL265_2016,0.31,Poor
LTL266_2014,0.3,Poor
LTL266_2022,0.33,Poor
LTL267_2013,0.2688,Poor
LTL267_2020,0.45,Moderate
LTL268_2014,0.49,Moderate
LTL268_2022,0.37,Moderate
LTL270_2017,0.38,Moderate
LTL270_2023,0.63,Good
LTL271_2017,0.19,Bad
LTL271_2023,0.53,Good
LTL272_2013,,
LTL272_2016,0.27,Poor
LTL273_2015,0.54,Good
LTL273_2021,0.83,High
LTL274_2013,0.6575,Good
LTL274_2019,0.55,Good
LTL274_2023,0.53,Good
LTL276_2013,1,High
LTL276_2019,0.58,Good
LTL277_2013,0.3925,Poor
LTL277_2016,0.36,Moderate
LTL278_2016,0.76,High
LTL278_2022,0.44,Moderate
LTL279_2013,0.6674,Good
LTL279_2014,,
LTL279_2019,0.57,Good
LTL279_2023,0.44,Moderate
LTL280_2016,0.67,Good
LTL280_2023,0.45,Moderate
LTL281_2016,0.57,Good
LTL281_2023,0.52,Good
LTL282_2014,0.94,High
LTL282_2020,0.46,Moderate
LTL283_2016,0.94,High
LTL283_2023,0.73,Good
LTL284_2018,0.66,Good
LTL285_2014,0.48,Moderate
LTL285_2020,0.83,High
LTL286_2015,0.5,Good
LTL287_2015,0.58,Good
LTL287_2021,0.64,Good
LTL288_2013,0.7091,Good
LTL288_2020,0.79,High
LTL288_2023,0.82,High
LTL289_2015,0.7,Good
LTL289_2021,0.69,Good
LTL29_2018,0.74,High
LTL290_2013,0.5673,Good
LTL290_2019,0.51,Good
LTL290_2023,0.62,Good
LTL291_2022,0.7,Good
LTL292_2021,0.44,Moderate
LTL293_2013,0.7157,Good
LTL293_2021,0.52,Good
LTL294_2016,0.48,Moderate
LTL294_2022,0.48,Moderate
LTL295_2019,0.53,Good
LTL295_2023,0.75,High
LTL296_2013,0.5585,Moderate
LTL296_2020,0.65,Good
LTL297_2017,1,High
LTL297_2023,0.62,Good
LTL298_2016,0.58,Good
LTL298_2022,0.36,Moderate
LTL299_2017,0.81,High
LTL299_2022,0.6,Good
LTL300_2019,0.62,Good
LTL301_2015,0.68,Good
LTL301_2023,0.61,Good
LTL302_2015,0.68,Good
LTL303_2014,0.56,Good
LTL303_2022,0.35,Moderate
LTL304_2013,0.6706,Good
LTL304_2020,1,High
LTL304_2023,0.74,High
LTL305_2013,0.5595,Good
LTL305_2022,0.5,Good
LTL306_2015,0.72,Good
LTL306_2022,0.58,Good
LTL309_2018,0.57,Good
LTL310_2016,0.63,Good
LTL310_2019,0.56,Good
LTL311_2016,0.42,Moderate
LTL311_2019,0.68,Good
LTL312_2013,0.8875,High
LTL312_2014,0.85,High
LTL312_2015,0.95,High
LTL312_2020,0.79,High
LTL313_2014,0.71,Good
LTL313_2020,0.84,High
LTL314_2014,1,High
LTL314_2020,0.52,Good
LTL315_2021,0.51,Good
LTL316_2021,0.69,Good
LTL317_2015,0.7,Good
LTL317_2021,0.74,High
LTL318_2015,0.72,Good
LTL318_2021,0.8,High
LTL319_2019,0.72,Good
LTL320_2019,0.52,Good
LTL321_2019,0.59,Good
LTL322_2020,0.72,Good
LTL324_2019,0.55,Good
LTL325_2016,0.8,High
LTL325_2022,0.7,Good
LTL326_2017,0.71,Good
LTL326_2022,0.67,Good
LTL327_2013,0.71,Good
LTL327_2014,0.57,Good
LTL327_2015,0.68,Good
LTL327_2020,0.55,Good
LTL328_2015,0.44,Moderate
LTL328_2021,0.42,Moderate
LTL329_2019,0.73,Good
LTL330_2015,0.5,Good
LTL330_2021,0.49,Moderate
LTL331_2019,0.52,Good
LTL333_2022,0.67,Good
LTL334_2023,0.5,Good
LTL335_2016,0.63,Good
LTL336_2015,0.77,High
LTL336_2021,0.63,Good
LTL337_2015,0.72,Good
LTL337_2021,0.51,Good
LTL338_2015,0.8,High
LTL338_2021,0.62,Good
LTL339_2014,0.7,Good
LTL34_2013,0.3039,Poor
LTL34_2014,0.48,Moderate
LTL34_2015,0.78,High
LTL34_2016,0.42,Moderate
LTL34_2019,0.66,Good
LTL340_2015,0.51,Good
LTL340_2021,0.58,Good
LTL341_2015,0.71,Good
LTL341_2021,0.93,High
LTL342_2018,0.67,Good
LTL343_2013,1,High
LTL343_2014,1,High
LTL343_2015,0.81,High
LTL343_2016,0.89,High
LTL343_2019,0.72,Good
LTL344_2014,0.67,Good
LTL344_2020,0.8,High
LTL345_2014,0.63,Good
LTL345_2020,0.72,Good
LTL347_2013,0.8364,High
LTL347_2019,0.44,Moderate
LTL348_2016,0.58,Good
LTL348_2022,0.73,Good
LTL349_2014,0.46,Moderate
LTL349_2020,0.49,Moderate
LTL350_2016,0.77,High
LTL350_2022,0.76,High
LTL351_2018,0.57,Good
LTL352_2016,0.76,High
LTL352_2022,0.48,Moderate
LTL353_2016,0.81,High
LTL353_2022,0.61,Good
LTL354_2016,0.53,Good
LTL354_2023,0.65,Good
LTL355_2015,0.46,Moderate
LTL355_2021,0.58,Good
LTL356_2014,0.47,Moderate
LTL356_2020,0.69,Good
LTL357_2014,0.78,High
LTL357_2020,0.68,Good
LTL358_2015,0.85,High
LTL358_2021,0.78,High
LTL359_2017,0.82,High
LTL359_2023,0.54,Good
LTL360_2014,0.45,Moderate
LTL360_2020,0.76,High
LTL362_2014,0.73,Good
LTL362_2020,0.57,Good
LTL363_2014,0.57,Good
LTL363_2020,0.76,High
LTL364_2017,0.84,High
LTL364_2023,0.54,Good
LTL365_2016,0.79,High
LTL365_2022,0.8,High
LTL366_2015,0.62,Good
LTL367_2014,0.75,High
LTL367_2020,0.71,Good
LTL368_2016,0.71,Good
LTL368_2022,0.61,Good
LTL370_2016,0.87,High
LTL370_2022,0.42,Moderate
LTL371_2015,0.51,Good
LTL371_2022,0.45,Moderate
LTL372_2015,0.63,Good
LTL372_2023,0.51,Good
LTL373_2015,0.66,Good
LTL373_2021,0.5,Good
LTL374_2015,0.76,High
LTL374_2021,0.47,Moderate
LTL375_2016,0.33,Poor
LTL375_2022,0.46,Moderate
LTL376_2015,0.57,Good
LTL376_2021,0.74,High
LTL377_2013,0.6463,Good
LTL377_2019,0.58,Good
LTL378_2013,0.632,Good
LTL378_2018,0.74,High
LTL379_2015,0.55,Good
LTL379_2021,0.57,Good
LTL380_2014,0.69,Good
LTL380_2018,0.85,High
LTL381_2014,0.78,High
LTL381_2018,0.72,Good
LTL382_2017,0.74,High
LTL382_2022,0.61,Good
LTL383_2022,0.52,Good
LTL385_2017,0.84,High
LTL385_2022,0.65,Good
LTL386_2015,0.92,High
LTL386_2021,0.65,Good
LTL387_2015,0.49,Moderate
LTL387_2021,0.45,Moderate
LTL388_2015,0.64,Good
LTL389_2016,0.93,High
LTL389_2023,0.41,Moderate
LTL39_2013,0.7166,Good
LTL39_2014,0.72,Good
LTL39_2015,0.81,High
LTL39_2016,0.55,Good
LTL39_2019,0.61,Good
LTL390_2014,0.53,Good
LTL390_2022,0.52,Good
LTL391_2016,0.66,Good
LTL391_2022,0.43,Moderate
LTL392_2015,0.64,Good
LTL392_2021,0.59,Good
LTL393_2013,0.5448,Good
LTL393_2018,0.43,Moderate
LTL394_2013,0.61,Good
LTL394_2018,0.63,Good
LTL395_2013,0.6972,Good
LTL395_2016,0.56,Good
LTL395_2022,0.64,Good
LTL396_2013,0.6639,Good
LTL396_2015,0.46,Moderate
LTL396_2021,0.59,Good
LTL397_2013,0.4343,Moderate
LTL397_2018,0.38,Moderate
LTL398_2013,0.6615,Good
LTL398_2021,0.79,High
LTL399_2017,0.49,Moderate
LTL399_2022,0.65,Good
LTL400_2016,0.39,Moderate
LTL400_2023,0.53,Good
LTL401_2015,0.83,High
LTL401_2021,0.6,Good
LTL403_2016,0.22,Poor
LTL404_2016,0.44,Moderate
LTL405_2016,0.72,Good
LTL405_2022,0.65,Good
LTL405_2023,0.89,High
LTL406_2013,,
LTL406_2023,0.38,Moderate
LTL407_2013,,
LTL407_2023,0.65,Good
LTL408_2014,0.33,Poor
LTL408_2020,0.51,Good
LTL409_2013,,
LTL409_2018,0.48,Moderate
LTL410_2013,,
LTL410_2018,0.68,Good
LTL411_2013,,
LTL411_2018,0.7,Good
LTL414_2013,,
LTL414_2018,0.61,Good
LTL416_2019,0.75,High
LTL417_2017,0.76,High
LTL417_2022,,
LTL419_2016,0.41,Moderate
LTL419_2023,0.51,Good
LTL420_2018,0.44,Moderate
LTL421_2013,,
LTL422_2013,,
LTL423_2013,,
LTL423_2021,0.46,Moderate
LTL424_2013,,
LTL424_2021,0.81,High
LTL426_2015,0.72,Good
LTL426_2021,0.4,Moderate
LTL427_2013,,
LTL428_2015,0.42,Moderate
LTL428_2021,0.36,Moderate
LTL43_2013,0.5199,Good
LTL43_2017,0.42,Moderate
LTL43_2022,0.3,Poor
LTL430_2016,0.46,Moderate
LTL430_2023,0.55,Good
LTL431_2019,0.71,Good
LTL431_2023,0.63,Good
LTL432_2018,0.57,Good
LTL433_2016,0.63,Good
LTL433_2022,0.81,High
LTL434_2014,0.35,Moderate
LTL434_2022,0.4,Moderate
LTL435_2017,0.34,Poor
LTL435_2023,0.38,Moderate
LTL436_2013,0.2099,Poor
LTL436_2016,0.29,Poor
LTL436_2023,0.5,Good
LTL437_2017,0.66,Good
LTL437_2023,0.68,Good
LTL438_2016,0.44,Moderate
LTL438_2023,0.7,Good
LTL439_2016,0.47,Moderate
LTL439_2021,0.32,Poor
LTL440_2016,0.7,Good
LTL440_2023,0.68,Good
LTL441_2013,0.7401,Good
LTL441_2020,0.41,Moderate
LTL441_2023,0.7,Good
LTL442_2013,0.6713,Good
LTL442_2020,0.82,High
LTL443_2018,0.66,Good
LTL443_2023,0.77,High
LTL444_2017,0.47,Moderate
LTL444_2022,0.47,Moderate
LTL445_2016,0.86,High
LTL445_2022,0.6,Good
LTL446_2014,0.68,Good
LTL446_2020,0.6,Good
LTL447_2018,0.66,Good
LTL448_2015,0.61,Good
LTL448_2021,0.77,High
LTL449_2019,0.49,Moderate
LTL450_2019,0.35,Moderate
LTL450_2023,0.83,High
LTL451_2013,0.4036,Moderate
LTL451_2016,0.32,Poor
LTL451_2023,0.35,Moderate
LTL452_2018,0.48,Moderate
LTL452_2023,0.5,Good
LTL453_2016,0.57,Good
LTL454_2015,0.87,High
LTL454_2022,0.8,High
LTL455_2013,0.4181,Moderate
LTL455_2016,0.57,Good
LTL455_2023,0.45,Moderate
LTL456_2016,0.77,High
LTL456_2023,0.97,High
LTL457_2016,0.82,High
LTL460_2015,0.75,High
LTL460_2021,0.65,Good
LTL461_2015,0.19,Bad
LTL461_2021,0.39,Moderate
LTL462_2018,0.6,Good
LTL462_2023,0.46,Moderate
LTL463_2016,0.59,Good
LTL463_2021,0.6,Good
LTL464_2016,0.72,Good
LTL464_2023,0.67,Good
LTL465_2014,0.41,Moderate
LTL465_2020,0.31,Poor
LTL465_2023,0.65,Good
LTL466_2014,0.4,Moderate
LTL466_2020,0.47,Moderate
LTL466_2023,0.82,High
LTL467_2014,0.68,Good
LTL467_2020,0.71,Good
LTL468_2014,0.58,Good
LTL468_2020,0.76,High
LTL469_2015,0.49,Moderate
LTL48_2013,0.4529,Moderate
LTL48_2016,0.28,Poor
LTL500_2014,0.4,Moderate
LTL500_2022,0.48,Moderate
LTL501_2015,0.7,Good
LTL503_2015,0.67,Good
LTL504_2015,0.44,Moderate
LTL505_2015,0.7,Good
LTL506_2017,1,High
LTL508_2016,0.71,Good
LTL508_2023,0.46,Moderate
LTL509_2015,0.87,High
LTL509_2021,0.63,Good
LTL510_2014,0.51,Good
LTL511_2014,0.58,Good
LTL511_2020,0.4,Moderate
LTL511_2023,0.63,Good
LTL512_2014,0.37,Moderate
LTL512_2020,0.53,Good
LTL512_2023,0.71,Good
LTL513_2013,0.3953,Moderate
LTL513_2019,0.5,Good
LTL514_2014,0.49,Moderate
LTL515_2014,0.72,Good
LTL515_2022,0.8,High
LTL516_2014,0.77,High
LTL516_2020,0.42,Moderate
LTL516_2023,0.63,Good
LTL517_2015,0.5,Good
LTL518_2014,0.49,Moderate
LTL518_2020,0.44,Moderate
LTL519_2014,0.89,High
LTL519_2022,0.45,Moderate
LTL520_2014,0.75,High
LTL520_2020,0.58,Good
LTL522_2016,0.49,Moderate
LTL522_2023,0.35,Moderate
LTL523_2014,0.5,Good
LTL523_2020,0.59,Good
LTL525_2018,1,High
LTL526_2016,0.94,High
LTL526_2023,0.52,Good
LTL527_2017,0.55,Good
LTL527_2023,0.57,Good
LTL528_2017,0.9,High
LTL529_2022,0.68,Good
LTL530_2016,0.8,High
LTL530_2023,0.48,Moderate
LTL531_2018,0.61,Good
LTL532_2014,0.51,Good
LTL532_2022,0.5,Good
LTL533_2014,0.47,Moderate
LTL533_2020,0.74,High
LTL534_2016,0.54,Good
LTL534_2023,0.62,Good
LTL535_2017,1,High
LTL537_2017,0.99,High
LTL537_2022,0.75,High
LTL538_2017,0.55,Good
LTL538_2022,0.54,Good
LTL539_2018,0.81,High
LTL540_2017,0.56,Good
LTL541_2017,0.75,High
LTL541_2022,0.51,Good
LTL542_2017,0.56,Good
LTL542_2022,0.5,Good
LTL543_2017,0.77,High
LTL544_2018,0.4,Moderate
LTL545_2017,0.3,Poor
LTL546_2018,1,High
LTL64_2018,0.33,Poor
LTL65_2013,0.6558,Good
LTL65_2014,0.89,High
LTL65_2015,1,High
LTL65_2016,0.76,High
LTL65_2019,0.73,Good
LTL68_2013,0.4722,Moderate
LTL68_2021,0.32,Poor
LTL71_2013,,
LTL71_2014,0.19,Bad
LTL71_2015,0.26,Poor
LTL71_2016,0.28,Poor
LTL71_2019,0.29,Poor
